px,pz,end_speed,pitch_type,b_score,ab_id,b_count,s_count,outs,pitch_num,on_1b,on_2b,on_3b,pitch_type_code,year,inning,p_score,type_B,type_S,type_X,stand_L,stand_R
-1.598,1.869,82.8,1,0.0,2015000632,0.0,0.0,0.0,1.0,0.0,0.0,0.0,FB,2015,1,0,0,1,0,1,0
-0.909,2.487,85.0,1,0.0,2015000632,0.0,1.0,0.0,2.0,0.0,0.0,0.0,FB,2015,1,0,0,1,0,1,0
-1.585,2.9339999999999997,86.6,1,0.0,2015000632,0.0,2.0,0.0,3.0,0.0,0.0,0.0,FB,2015,1,0,1,0,0,1,0
0.364,0.245,79.9,3,0.0,2015000632,1.0,2.0,0.0,4.0,0.0,0.0,0.0,OS,2015,1,0,1,0,0,1,0
-1.9269999999999998,4.25,85.7,1,0.0,2015000632,2.0,2.0,0.0,5.0,0.0,0.0,0.0,FB,2015,1,0,1,0,0,1,0
-0.7959999999999999,2.408,79.9,3,0.0,2015000632,3.0,2.0,0.0,6.0,0.0,0.0,0.0,OS,2015,1,0,0,1,0,1,0
0.001,2.783,85.9,1,0.0,2015000632,3.0,2.0,0.0,7.0,0.0,0.0,0.0,FB,2015,1,0,0,1,0,1,0
-1.3969999999999998,3.2039999999999997,85.3,1,0.0,2015000632,3.0,2.0,0.0,8.0,0.0,0.0,0.0,FB,2015,1,0,1,0,0,1,0
0.861,2.9960000000000004,83.5,1,0.0,2015000633,0.0,0.0,0.0,1.0,1.0,0.0,0.0,FB,2015,1,0,1,0,0,0,1
-0.36,2.826,85.3,1,0.0,2015000633,1.0,0.0,0.0,2.0,1.0,0.0,0.0,FB,2015,1,0,0,1,0,0,1
0.136,2.083,80.0,2,0.0,2015000633,1.0,1.0,0.0,3.0,1.0,0.0,0.0,BR,2015,1,0,0,1,0,0,1
0.067,1.911,81.8,2,0.0,2015000633,1.0,2.0,0.0,4.0,1.0,0.0,0.0,BR,2015,1,0,0,0,1,0,1
-0.7020000000000001,3.622,83.4,1,0.0,2015000634,0.0,0.0,1.0,1.0,1.0,0.0,0.0,FB,2015,1,0,0,1,0,1,0
-0.28300000000000003,3.8280000000000003,84.0,1,0.0,2015000634,0.0,1.0,1.0,2.0,1.0,0.0,0.0,FB,2015,1,0,0,1,0,1,0
-0.922,0.063,77.4,3,0.0,2015000634,0.0,2.0,1.0,3.0,1.0,0.0,0.0,OS,2015,1,0,1,0,0,1,0
-0.539,3.156,87.7,1,0.0,2015000634,1.0,2.0,1.0,4.0,1.0,0.0,0.0,FB,2015,1,0,0,1,0,1,0
0.22,2.748,85.1,1,0.0,2015000635,0.0,0.0,2.0,1.0,1.0,0.0,0.0,FB,2015,1,0,0,1,0,0,1
1.032,1.7730000000000001,85.2,1,0.0,2015000635,0.0,1.0,2.0,2.0,1.0,0.0,0.0,FB,2015,1,0,1,0,0,0,1
-1.0270000000000001,3.4539999999999997,86.0,1,0.0,2015000635,1.0,1.0,2.0,3.0,1.0,0.0,0.0,FB,2015,1,0,0,1,0,0,1
-0.5589999999999999,1.383,80.2,3,0.0,2015000635,1.0,2.0,2.0,4.0,1.0,0.0,0.0,OS,2015,1,0,0,0,1,0,1
-0.838,2.376,81.3,1,0.0,2015000641,0.0,0.0,0.0,1.0,0.0,0.0,0.0,FB,2015,2,0,0,0,1,1,0
-0.376,2.6639999999999997,82.9,1,0.0,2015000642,0.0,0.0,1.0,1.0,0.0,0.0,0.0,FB,2015,2,0,0,1,0,0,1
-1.729,3.195,84.6,1,0.0,2015000642,0.0,1.0,1.0,2.0,0.0,0.0,0.0,FB,2015,2,0,1,0,0,0,1
-0.43799999999999994,2.438,84.6,1,0.0,2015000642,1.0,1.0,1.0,3.0,0.0,0.0,0.0,FB,2015,2,0,0,1,0,0,1
-0.012,2.491,79.4,2,0.0,2015000642,1.0,2.0,1.0,4.0,0.0,0.0,0.0,BR,2015,2,0,0,1,0,0,1
0.218,2.073,83.9,1,0.0,2015000643,0.0,0.0,2.0,1.0,0.0,0.0,0.0,FB,2015,2,0,0,1,0,0,1
-0.331,2.819,85.3,1,0.0,2015000643,0.0,1.0,2.0,2.0,0.0,0.0,0.0,FB,2015,2,0,0,1,0,0,1
